timestamp,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,rpm_0,rpm_1,rpm_2,rpm_3
2.84,-0.098252,2.140406,0.073046,0.474814,-0.003481,-0.880063,0.005426,2610.7596,2445.553277,2623.941542,2438.938963
2.86,-0.099069,2.144119,0.074369,0.46996,-0.003701,-0.88266,0.005999,2606.811929,2449.62344,2616.780097,2446.718627
2.88,-0.099837,2.147871,0.075665,0.465146,-0.003823,-0.885201,0.006591,2600.883626,2449.66609,2606.440586,2454.180847
2.9,-0.100555,2.151653,0.076928,0.460368,-0.00386,-0.887691,0.007112,2593.728434,2447.189613,2597.078081,2458.701507
2.92,-0.10122,2.155455,0.078155,0.455624,-0.00384,-0.890132,0.007507,2589.933797,2447.083454,2588.718728,2459.111374
2.94,-0.101831,2.159268,0.079344,0.450913,-0.003822,-0.892526,0.007766,2589.366923,2447.613748,2582.941639,2457.631737
2.96,-0.102388,2.163088,0.080492,0.446235,-0.003844,-0.894873,0.007899,2588.878408,2446.831044,2582.552363,2455.257397
2.98,-0.10289,2.166912,0.081598,0.441591,-0.003895,-0.897173,0.007954,2588.944331,2445.238276,2586.617002,2448.186316
3.0,-0.103338,2.170733,0.082662,0.436984,-0.003962,-0.899425,0.008005,2589.867063,2440.109861,2589.607329,2436.957049
3.02,-0.103729,2.174543,0.083682,0.43242,-0.004054,-0.901627,0.008077,2593.815978,2430.970091,2591.271926,2429.281137
3.04,-0.104066,2.178337,0.08466,0.427902,-0.004191,-0.903779,0.008133,2599.529327,2422.124328,2594.213356,2423.845769
3.06,-0.104345,2.182106,0.085594,0.423433,-0.004383,-0.90588,0.008174,2600.816055,2416.136993,2596.832508,2414.037875
3.08,-0.104566,2.18584,0.086484,0.419018,-0.004639,-0.907929,0.008274,2597.40168,2411.820083,2594.751459,2400.503556
3.1,-0.104728,2.18952,0.087332,0.414657,-0.004995,-0.909925,0.008462,2596.71793,2404.048469,2588.806394,2395.122262
3.12,-0.104828,2.193134,0.088136,0.410352,-0.005502,-0.91187,0.008635,2598.203203,2394.076237,2581.84204,2396.416477
3.14,-0.104862,2.19667,0.088898,0.406103,-0.006171,-0.913765,0.008718,2594.0673,2387.7764,2580.097656,2390.925036
3.16,-0.104825,2.200113,0.089617,0.401912,-0.006945,-0.91561,0.00878,2585.631306,2383.893693,2582.127929,2378.429681
3.18,-0.104713,2.203448,0.090296,0.397784,-0.007774,-0.917403,0.008887,2586.620585,2375.567696,2584.056274,2370.921994
3.2,-0.10452,2.206672,0.090937,0.393721,-0.008672,-0.919145,0.008965,2596.92687,2363.691075,2586.737854,2369.669615
3.22,-0.104239,2.209783,0.091541,0.389729,-0.009642,-0.920836,0.008971,2598.758235,2358.677569,2593.56546,2360.871307
3.24,-0.103863,2.212775,0.092111,0.385812,-0.010608,-0.922472,0.009034,2592.19357,2357.392739,2601.182022,2346.894394
3.26,-0.103388,2.215636,0.092648,0.381974,-0.011502,-0.924056,0.009188,2593.788314,2342.423665,2600.910713,2343.777885
3.28,-0.102805,2.218357,0.093155,0.378221,-0.012349,-0.925587,0.009249,2605.240348,2323.385416,2599.180943,2341.607326
3.3,-0.102109,2.220927,0.093632,0.374555,-0.013211,-0.927065,0.009179,2607.544002,2319.391927,2603.054338,2322.978224
3.32,-0.101296,2.223331,0.094082,0.370982,-0.014128,-0.928488,0.00915,2605.274931,2316.118205,2604.032784,2302.264625
3.34,-0.100358,2.22556,0.094508,0.367506,-0.015137,-0.929853,0.009177,2614.870498,2301.400899,2605.867344,2300.125965
3.36,-0.09929,2.227614,0.094912,0.364133,-0.016267,-0.93116,0.009113,2628.124702,2288.125254,2613.070513,2296.972162
3.38,-0.098084,2.229485,0.095297,0.360868,-0.017525,-0.932409,0.009022,2626.496921,2281.985967,2620.913797,2268.872556
3.4,-0.096731,2.231147,0.095666,0.357723,-0.018882,-0.933592,0.009135,2620.992235,2267.368838,2625.164174,2239.093138
3.42,-0.095224,2.232587,0.096021,0.354708,-0.02029,-0.934709,0.009456,2637.111352,2243.890596,2638.705622,2233.2182
3.44,-0.093552,2.233804,0.096365,0.351831,-0.021669,-0.935761,0.009877,2640.68385,2229.711777,2649.585111,2225.965057
3.46,-0.091706,2.234758,0.096696,0.349099,-0.022891,-0.936747,0.010551,2602.865607,2219.894585,2633.536452,2192.464218
3.48,-0.089679,2.235381,0.097014,0.346516,-0.023863,-0.937668,0.0117,2577.90253,2200.557278,2615.941444,2164.694389
3.5,-0.087463,2.235643,0.097312,0.344088,-0.024514,-0.938524,0.01323,2597.445161,2171.146071,2632.215107,2165.351955
3.52,-0.085052,2.235542,0.097581,0.341826,-0.024754,-0.939318,0.014965,2603.22551,2148.035926,2642.303964,2150.532545
3.54,-0.082441,2.235018,0.097811,0.33973,-0.024588,-0.940046,0.017107,2548.313927,2151.588886,2596.997319,2108.655677
3.56,-0.079633,2.233994,0.097987,0.337794,-0.024062,-0.940702,0.019882,2521.317364,2145.171152,2570.425784,2102.97237
3.58,-0.076624,2.232462,0.098091,0.336017,-0.023024,-0.941298,0.022797,2559.681143,2084.261968,2596.754274,2143.334818
3.6,-0.073413,2.230449,0.098101,0.334405,-0.021299,-0.941855,0.025092,2578.400508,2057.473513,2599.610779,2167.956593
3.62,-0.070007,2.227937,0.097997,0.332948,-0.018769,-0.94237,0.027058,2479.387266,2150.285341,2556.555878,2166.747462
3.64,-0.06642,2.224919,0.097761,0.331626,-0.015292,-0.942829,0.029395,2447.732817,2213.538666,2542.407578,2209.647779
3.66,-0.062665,2.22144,0.097368,0.330411,-0.011502,-0.943259,0.030971,2591.797561,2118.676194,2491.719048,2278.712073
3.68,-0.058761,2.217568,0.096797,0.329296,-0.008112,-0.943706,0.030306,2635.528175,2118.219933,2515.957058,2311.343219
3.7,-0.054726,2.213522,0.096031,0.328286,-0.004081,-0.944121,0.0291,2518.461353,2453.37669,2693.698744,2410.44285
3.72,-0.050586,2.209486,0.095059,0.327354,0.001188,-0.944458,0.028924,2546.452967,2471.960074,2627.269416,2445.949818
3.74,-0.046381,2.205372,0.093874,0.326458,0.00557,-0.944806,0.02712,2694.889691,2283.457698,2360.124332,2499.795588
3.76,-0.042149,2.201153,0.092482,0.325591,0.007466,-0.945226,0.021977,2714.417746,2368.292448,2435.976961,2489.404142
3.78,-0.037916,2.197227,0.090895,0.324719,0.009431,-0.945602,0.017487,2523.143443,2830.323714,2846.950639,2636.731612
3.8,-0.033712,2.193783,0.089134,0.323824,0.012842,-0.945904,0.015451,2611.092474,2636.152213,2664.451271,2583.503745
3.82,-0.029565,2.190462,0.087221,0.322951,0.015235,-0.946222,0.011612,2656.404757,2358.242122,2308.985646,2612.537395
3.84,-0.025502,2.187119,0.085186,0.322092,0.016077,-0.946553,0.005954,2551.671129,2571.81674,2526.941309,2481.329977
3.86,-0.021552,2.184112,0.083057,0.321167,0.018082,-0.946845,0.003149,2483.96325,2851.402388,2873.104199,2618.250316
3.88,-0.017743,2.181551,0.080851,0.320211,0.020872,-0.947114,0.001843,2711.960385,2536.07534,2536.455786,2618.805456
3.9,-0.014087,2.179066,0.078579,0.319352,0.021204,-0.947394,-0.00303,2719.070769,2320.937816,2260.25719,2597.398577
3.92,-0.010602,2.176718,0.076278,0.318478,0.021186,-0.947659,-0.008127,2403.459701,2802.656042,2778.471735,2557.160104
3.94,-0.007317,2.174832,0.07398,0.317421,0.024629,-0.947933,-0.007809,2374.242912,2855.562884,2893.142239,2581.472996
3.96,-0.00425,2.17324,0.071678,0.316295,0.02968,-0.948175,-0.006373,2626.851314,2428.671945,2410.607863,2671.897753
3.98,-0.001416,2.171579,0.069354,0.315347,0.032043,-0.948382,-0.010012,2771.336546,2242.875645,2193.17942,2572.416894
4.0,0.00115,2.169991,0.067027,0.314438,0.033032,-0.948589,-0.014735,2432.53546,2797.087115,2709.69347,2557.262036
4.02,0.003401,2.168832,0.064728,0.313263,0.036813,-0.948848,-0.014061,2340.001861,2897.874612,2868.411188,2578.957434
4.04,0.005319,2.167973,0.062443,0.311977,0.041574,-0.949105,-0.011885,2642.925857,2498.995778,2355.716458,2686.593951
4.06,0.006902,2.167077,0.060148,0.310935,0.042877,-0.949352,-0.014562,2782.417396,2300.605311,2168.847121,2582.199564
4.08,0.008127,2.166202,0.05786,0.309984,0.042067,-0.949626,-0.018735,2439.085041,2742.647626,2611.861427,2544.366994
4.1,0.008966,2.165608,0.055608,0.308764,0.043272,-0.949977,-0.01832,2325.65983,2846.127402,2797.998706,2540.155787
4.12,0.009421,2.16518,0.053389,0.307453,0.045093,-0.950349,-0.016619,2649.761312,2429.184184,2358.042993,2609.06471
